candidate_a,candidate_b,row_diff_a,row_diff_b,overlap_count,jaccard,frac_of_a,frac_of_b
als_htr_popa4_w0.025,als_htr_popa4_w0.025,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.025,als_htr_popa4_w0.05,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.025,als_htr_popa4_w0.1,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.025,als_htr_popa4_w0.2,278,300,278,0.9266666666666666,1.0,0.9266666666666666
als_htr_popa4_w0.025,als_popa4_w0.2,278,276,186,0.5054347826086957,0.6690647482014388,0.6739130434782609
als_htr_popa4_w0.025,boundary_scoreblend_z128_z192_z64_w-0.75,278,582,126,0.17166212534059946,0.45323741007194246,0.21649484536082475
als_htr_popa4_w0.025,boundary_scoreblend_z128_z192_z64_w2,278,596,161,0.22580645161290322,0.579136690647482,0.2701342281879195
als_htr_popa4_w0.025,emb128_emb64_zblend,278,596,137,0.18588873812754408,0.49280575539568344,0.22986577181208054
als_htr_popa4_w0.025,frontier_z_w1920_w64-0.25,278,556,120,0.16806722689075632,0.4316546762589928,0.2158273381294964
als_htr_popa4_w0.025,otto_coplay_top5_reverse_recent_forced,278,508,129,0.1963470319634703,0.46402877697841727,0.25393700787401574
als_htr_popa4_w0.025,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,278,646,133,0.168141592920354,0.4784172661870504,0.20588235294117646
als_htr_popa4_w0.05,als_htr_popa4_w0.025,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.05,als_htr_popa4_w0.05,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.05,als_htr_popa4_w0.1,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.05,als_htr_popa4_w0.2,278,300,278,0.9266666666666666,1.0,0.9266666666666666
als_htr_popa4_w0.05,als_popa4_w0.2,278,276,186,0.5054347826086957,0.6690647482014388,0.6739130434782609
als_htr_popa4_w0.05,boundary_scoreblend_z128_z192_z64_w-0.75,278,582,126,0.17166212534059946,0.45323741007194246,0.21649484536082475
als_htr_popa4_w0.05,boundary_scoreblend_z128_z192_z64_w2,278,596,161,0.22580645161290322,0.579136690647482,0.2701342281879195
als_htr_popa4_w0.05,emb128_emb64_zblend,278,596,137,0.18588873812754408,0.49280575539568344,0.22986577181208054
als_htr_popa4_w0.05,frontier_z_w1920_w64-0.25,278,556,120,0.16806722689075632,0.4316546762589928,0.2158273381294964
als_htr_popa4_w0.05,otto_coplay_top5_reverse_recent_forced,278,508,129,0.1963470319634703,0.46402877697841727,0.25393700787401574
als_htr_popa4_w0.05,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,278,646,133,0.168141592920354,0.4784172661870504,0.20588235294117646
als_htr_popa4_w0.1,als_htr_popa4_w0.025,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.1,als_htr_popa4_w0.05,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.1,als_htr_popa4_w0.1,278,278,278,1.0,1.0,1.0
als_htr_popa4_w0.1,als_htr_popa4_w0.2,278,300,278,0.9266666666666666,1.0,0.9266666666666666
als_htr_popa4_w0.1,als_popa4_w0.2,278,276,186,0.5054347826086957,0.6690647482014388,0.6739130434782609
als_htr_popa4_w0.1,boundary_scoreblend_z128_z192_z64_w-0.75,278,582,126,0.17166212534059946,0.45323741007194246,0.21649484536082475
als_htr_popa4_w0.1,boundary_scoreblend_z128_z192_z64_w2,278,596,161,0.22580645161290322,0.579136690647482,0.2701342281879195
als_htr_popa4_w0.1,emb128_emb64_zblend,278,596,137,0.18588873812754408,0.49280575539568344,0.22986577181208054
als_htr_popa4_w0.1,frontier_z_w1920_w64-0.25,278,556,120,0.16806722689075632,0.4316546762589928,0.2158273381294964
als_htr_popa4_w0.1,otto_coplay_top5_reverse_recent_forced,278,508,129,0.1963470319634703,0.46402877697841727,0.25393700787401574
als_htr_popa4_w0.1,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,278,646,133,0.168141592920354,0.4784172661870504,0.20588235294117646
als_htr_popa4_w0.2,als_htr_popa4_w0.025,300,278,278,0.9266666666666666,0.9266666666666666,1.0
als_htr_popa4_w0.2,als_htr_popa4_w0.05,300,278,278,0.9266666666666666,0.9266666666666666,1.0
als_htr_popa4_w0.2,als_htr_popa4_w0.1,300,278,278,0.9266666666666666,0.9266666666666666,1.0
als_htr_popa4_w0.2,als_htr_popa4_w0.2,300,300,300,1.0,1.0,1.0
als_htr_popa4_w0.2,als_popa4_w0.2,300,276,196,0.5157894736842106,0.6533333333333333,0.7101449275362319
als_htr_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w-0.75,300,582,128,0.16976127320954906,0.4266666666666667,0.21993127147766323
als_htr_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w2,300,596,170,0.23415977961432508,0.5666666666666667,0.28523489932885904
als_htr_popa4_w0.2,emb128_emb64_zblend,300,596,143,0.1899070385126162,0.4766666666666667,0.23993288590604026
als_htr_popa4_w0.2,frontier_z_w1920_w64-0.25,300,556,123,0.16780354706684858,0.41,0.22122302158273383
als_htr_popa4_w0.2,otto_coplay_top5_reverse_recent_forced,300,508,134,0.19881305637982197,0.44666666666666666,0.2637795275590551
als_htr_popa4_w0.2,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,300,646,136,0.16790123456790124,0.4533333333333333,0.21052631578947367
als_popa4_w0.2,als_htr_popa4_w0.025,276,278,186,0.5054347826086957,0.6739130434782609,0.6690647482014388
als_popa4_w0.2,als_htr_popa4_w0.05,276,278,186,0.5054347826086957,0.6739130434782609,0.6690647482014388
als_popa4_w0.2,als_htr_popa4_w0.1,276,278,186,0.5054347826086957,0.6739130434782609,0.6690647482014388
als_popa4_w0.2,als_htr_popa4_w0.2,276,300,196,0.5157894736842106,0.7101449275362319,0.6533333333333333
als_popa4_w0.2,als_popa4_w0.2,276,276,276,1.0,1.0,1.0
als_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w-0.75,276,582,120,0.16260162601626016,0.43478260869565216,0.20618556701030927
als_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w2,276,596,140,0.1912568306010929,0.5072463768115942,0.2348993288590604
als_popa4_w0.2,emb128_emb64_zblend,276,596,122,0.16266666666666665,0.4420289855072464,0.20469798657718122
als_popa4_w0.2,frontier_z_w1920_w64-0.25,276,556,106,0.14600550964187328,0.38405797101449274,0.1906474820143885
als_popa4_w0.2,otto_coplay_top5_reverse_recent_forced,276,508,118,0.17717717717717718,0.427536231884058,0.23228346456692914
als_popa4_w0.2,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,276,646,127,0.15974842767295597,0.4601449275362319,0.19659442724458204
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.025,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.05,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.1,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.2,582,300,128,0.16976127320954906,0.21993127147766323,0.4266666666666667
boundary_scoreblend_z128_z192_z64_w-0.75,als_popa4_w0.2,582,276,120,0.16260162601626016,0.20618556701030927,0.43478260869565216
boundary_scoreblend_z128_z192_z64_w-0.75,boundary_scoreblend_z128_z192_z64_w-0.75,582,582,582,1.0,1.0,1.0
boundary_scoreblend_z128_z192_z64_w-0.75,boundary_scoreblend_z128_z192_z64_w2,582,596,69,0.062218214607754736,0.11855670103092783,0.11577181208053691
boundary_scoreblend_z128_z192_z64_w-0.75,emb128_emb64_zblend,582,596,83,0.07579908675799087,0.14261168384879724,0.13926174496644295
boundary_scoreblend_z128_z192_z64_w-0.75,frontier_z_w1920_w64-0.25,582,556,315,0.3827460510328068,0.5412371134020618,0.5665467625899281
boundary_scoreblend_z128_z192_z64_w-0.75,otto_coplay_top5_reverse_recent_forced,582,508,202,0.22747747747747749,0.3470790378006873,0.39763779527559057
boundary_scoreblend_z128_z192_z64_w-0.75,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,582,646,224,0.22310756972111553,0.3848797250859107,0.34674922600619196
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.025,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.05,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.1,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.2,596,300,170,0.23415977961432508,0.28523489932885904,0.5666666666666667
boundary_scoreblend_z128_z192_z64_w2,als_popa4_w0.2,596,276,140,0.1912568306010929,0.2348993288590604,0.5072463768115942
boundary_scoreblend_z128_z192_z64_w2,boundary_scoreblend_z128_z192_z64_w-0.75,596,582,69,0.062218214607754736,0.11577181208053691,0.11855670103092783
boundary_scoreblend_z128_z192_z64_w2,boundary_scoreblend_z128_z192_z64_w2,596,596,596,1.0,1.0,1.0
boundary_scoreblend_z128_z192_z64_w2,emb128_emb64_zblend,596,596,496,0.7126436781609196,0.8322147651006712,0.8322147651006712
boundary_scoreblend_z128_z192_z64_w2,frontier_z_w1920_w64-0.25,596,556,168,0.17073170731707318,0.28187919463087246,0.302158273381295
boundary_scoreblend_z128_z192_z64_w2,otto_coplay_top5_reverse_recent_forced,596,508,223,0.25312145289443816,0.37416107382550334,0.4389763779527559
boundary_scoreblend_z128_z192_z64_w2,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,596,646,250,0.25201612903225806,0.41946308724832215,0.38699690402476783
emb128_emb64_zblend,als_htr_popa4_w0.025,596,278,137,0.18588873812754408,0.22986577181208054,0.49280575539568344
emb128_emb64_zblend,als_htr_popa4_w0.05,596,278,137,0.18588873812754408,0.22986577181208054,0.49280575539568344
emb128_emb64_zblend,als_htr_popa4_w0.1,596,278,137,0.18588873812754408,0.22986577181208054,0.49280575539568344
emb128_emb64_zblend,als_htr_popa4_w0.2,596,300,143,0.1899070385126162,0.23993288590604026,0.4766666666666667
emb128_emb64_zblend,als_popa4_w0.2,596,276,122,0.16266666666666665,0.20469798657718122,0.4420289855072464
emb128_emb64_zblend,boundary_scoreblend_z128_z192_z64_w-0.75,596,582,83,0.07579908675799087,0.13926174496644295,0.14261168384879724
emb128_emb64_zblend,boundary_scoreblend_z128_z192_z64_w2,596,596,496,0.7126436781609196,0.8322147651006712,0.8322147651006712
emb128_emb64_zblend,emb128_emb64_zblend,596,596,596,1.0,1.0,1.0
emb128_emb64_zblend,frontier_z_w1920_w64-0.25,596,556,205,0.21647307286166842,0.34395973154362414,0.368705035971223
emb128_emb64_zblend,otto_coplay_top5_reverse_recent_forced,596,508,251,0.29425556858147717,0.4211409395973154,0.4940944881889764
emb128_emb64_zblend,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,596,646,276,0.2857142857142857,0.46308724832214765,0.42724458204334365
frontier_z_w1920_w64-0.25,als_htr_popa4_w0.025,556,278,120,0.16806722689075632,0.2158273381294964,0.4316546762589928
frontier_z_w1920_w64-0.25,als_htr_popa4_w0.05,556,278,120,0.16806722689075632,0.2158273381294964,0.4316546762589928
frontier_z_w1920_w64-0.25,als_htr_popa4_w0.1,556,278,120,0.16806722689075632,0.2158273381294964,0.4316546762589928
frontier_z_w1920_w64-0.25,als_htr_popa4_w0.2,556,300,123,0.16780354706684858,0.22122302158273383,0.41
frontier_z_w1920_w64-0.25,als_popa4_w0.2,556,276,106,0.14600550964187328,0.1906474820143885,0.38405797101449274
frontier_z_w1920_w64-0.25,boundary_scoreblend_z128_z192_z64_w-0.75,556,582,315,0.3827460510328068,0.5665467625899281,0.5412371134020618
frontier_z_w1920_w64-0.25,boundary_scoreblend_z128_z192_z64_w2,556,596,168,0.17073170731707318,0.302158273381295,0.28187919463087246
frontier_z_w1920_w64-0.25,emb128_emb64_zblend,556,596,205,0.21647307286166842,0.368705035971223,0.34395973154362414
frontier_z_w1920_w64-0.25,frontier_z_w1920_w64-0.25,556,556,556,1.0,1.0,1.0
frontier_z_w1920_w64-0.25,otto_coplay_top5_reverse_recent_forced,556,508,343,0.47572815533980584,0.6169064748201439,0.6751968503937008
frontier_z_w1920_w64-0.25,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,556,646,346,0.40420560747663553,0.6223021582733813,0.5356037151702786
otto_coplay_top5_reverse_recent_forced,als_htr_popa4_w0.025,508,278,129,0.1963470319634703,0.25393700787401574,0.46402877697841727
otto_coplay_top5_reverse_recent_forced,als_htr_popa4_w0.05,508,278,129,0.1963470319634703,0.25393700787401574,0.46402877697841727
otto_coplay_top5_reverse_recent_forced,als_htr_popa4_w0.1,508,278,129,0.1963470319634703,0.25393700787401574,0.46402877697841727
otto_coplay_top5_reverse_recent_forced,als_htr_popa4_w0.2,508,300,134,0.19881305637982197,0.2637795275590551,0.44666666666666666
otto_coplay_top5_reverse_recent_forced,als_popa4_w0.2,508,276,118,0.17717717717717718,0.23228346456692914,0.427536231884058
otto_coplay_top5_reverse_recent_forced,boundary_scoreblend_z128_z192_z64_w-0.75,508,582,202,0.22747747747747749,0.39763779527559057,0.3470790378006873
otto_coplay_top5_reverse_recent_forced,boundary_scoreblend_z128_z192_z64_w2,508,596,223,0.25312145289443816,0.4389763779527559,0.37416107382550334
otto_coplay_top5_reverse_recent_forced,emb128_emb64_zblend,508,596,251,0.29425556858147717,0.4940944881889764,0.4211409395973154
otto_coplay_top5_reverse_recent_forced,frontier_z_w1920_w64-0.25,508,556,343,0.47572815533980584,0.6751968503937008,0.6169064748201439
otto_coplay_top5_reverse_recent_forced,otto_coplay_top5_reverse_recent_forced,508,508,508,1.0,1.0,1.0
otto_coplay_top5_reverse_recent_forced,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,508,646,322,0.3870192307692308,0.6338582677165354,0.4984520123839009
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,als_htr_popa4_w0.025,646,278,133,0.168141592920354,0.20588235294117646,0.4784172661870504
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,als_htr_popa4_w0.05,646,278,133,0.168141592920354,0.20588235294117646,0.4784172661870504
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,als_htr_popa4_w0.1,646,278,133,0.168141592920354,0.20588235294117646,0.4784172661870504
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,als_htr_popa4_w0.2,646,300,136,0.16790123456790124,0.21052631578947367,0.4533333333333333
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,als_popa4_w0.2,646,276,127,0.15974842767295597,0.19659442724458204,0.4601449275362319
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,boundary_scoreblend_z128_z192_z64_w-0.75,646,582,224,0.22310756972111553,0.34674922600619196,0.3848797250859107
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,boundary_scoreblend_z128_z192_z64_w2,646,596,250,0.25201612903225806,0.38699690402476783,0.41946308724832215
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,emb128_emb64_zblend,646,596,276,0.2857142857142857,0.42724458204334365,0.46308724832214765
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,frontier_z_w1920_w64-0.25,646,556,346,0.40420560747663553,0.5356037151702786,0.6223021582733813
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,otto_coplay_top5_reverse_recent_forced,646,508,322,0.3870192307692308,0.4984520123839009,0.6338582677165354
tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,646,646,646,1.0,1.0,1.0
